Date,Nox
2019-01-01,78
2019-01-02,141
2019-01-03,185
2019-01-04,160
2019-01-05,70
2019-01-06,55
2019-01-07,56
2019-01-08,67
2019-01-09,109
2019-01-10,93
2019-01-11,86
2019-01-12,31
2019-01-13,27
2019-01-14,81
2019-01-15,62
2019-01-16,67
2019-01-17,113
2019-01-18,226
2019-01-19,149
2019-01-20,151
2019-01-21,164
2019-01-22,116
2019-01-23,210
2019-01-24,236
2019-01-25,54
2019-01-26,54
2019-01-27,29
2019-01-28,95
2019-01-29,90
2019-01-30,121
2019-01-31,250
2019-02-01,180
2019-02-02,80
2019-02-03,93
2019-02-04,70
2019-02-05,178
2019-02-06,No data
2019-02-07,No data
2019-02-08,42
2019-02-09,39
2019-02-10,51
2019-02-11,130
2019-02-12,83
2019-02-13,71
2019-02-14,262
2019-02-15,133
2019-02-16,58
2019-02-17,48
2019-02-18,55
2019-02-19,75
2019-02-20,58
2019-02-21,107
2019-02-22,190
2019-02-23,139
2019-02-24,197
2019-02-25,363
2019-02-26,310
2019-02-27,209
2019-02-28,199
2019-03-01,146
2019-03-02,45
2019-03-03,59
2019-03-04,48
2019-03-05,90
2019-03-06,88
2019-03-07,54
2019-03-08,81
2019-03-09,41
2019-03-10,49
2019-03-11,54
2019-03-12,56
2019-03-13,39
2019-03-14,48
2019-03-15,40
2019-03-16,46
2019-03-17,40
2019-03-18,103
2019-03-19,77
2019-03-20,75
2019-03-21,96
2019-03-22,60
2019-03-23,64
2019-03-24,40
2019-03-25,87
2019-03-26,90
2019-03-27,72
2019-03-28,133
2019-03-29,81
2019-03-30,78
2019-03-31,110
2019-04-01,121
2019-04-02,74
2019-04-03,120
2019-04-04,120
2019-04-05,126
2019-04-06,158
2019-04-07,145
2019-04-08,129
2019-04-09,171
2019-04-10,200
2019-04-11,164
2019-04-12,180
2019-04-13,113
2019-04-14,91
2019-04-15,106
2019-04-16,192
2019-04-17,178
2019-04-18,195
2019-04-19,136
2019-04-20,150
2019-04-21,113
2019-04-22,123
2019-04-23,170
2019-04-24,144
2019-04-25,124
2019-04-26,86
2019-04-27,42
2019-04-28,122
2019-04-29,151
2019-04-30,159
2019-05-01,95
2019-05-02,92
2019-05-03,228
2019-05-04,96
2019-05-05,62
2019-05-06,85
2019-05-07,142
2019-05-08,160
2019-05-09,202
2019-05-10,156
2019-05-11,145
2019-05-12,102
